,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_numeric,away_team_numeric,home_team_continent_numeric,away_team_continent_numeric
87,20,24,0,0,156,19,2,2
88,11,50,0,0,181,70,2,2
90,29,74,0,0,207,52,2,2
91,64,59,0,0,101,93,1,1
92,44,43,0,0,161,97,1,1
93,58,36,0,0,89,102,1,1
96,43,58,0,0,97,89,1,1
97,64,44,0,0,101,161,1,1
98,59,36,0,0,93,102,1,1
100,64,43,0,0,101,97,1,1
101,59,64,0,0,89,93,1,1
102,37,46,0,0,102,161,1,1
104,98,63,0,0,32,82,0,0
105,64,46,0,0,93,161,1,1
106,59,58,0,0,89,101,1,1
107,44,37,0,0,97,102,1,1
110,49,106,0,0,88,114,2,2
111,66,34,0,0,94,12,2,2
112,67,23,0,0,194,151,2,2
113,64,44,0,0,93,97,1,1
114,37,58,0,0,102,101,1,1
115,46,59,0,0,161,89,1,1
117,61,9,0,0,11,8,4,5
124,34,8,0,0,12,181,2,2
125,66,45,0,0,94,70,2,2
126,20,119,0,0,152,65,2,2
127,67,2,0,0,194,142,2,2
129,9,61,0,0,8,11,5,4
130,14,32,0,0,71,30,2,2
132,36,11,0,0,78,157,2,2
133,3,20,0,0,95,152,2,2
134,84,29,0,0,121,162,2,2
135,42,11,0,0,141,155,2,2
136,23,6,0,0,151,134,2,2
137,122,10,0,0,160,62,2,2
138,7,5,0,0,174,55,2,2
139,13,119,0,0,182,65,2,2
140,28,15,0,0,207,156,2,2
143,84,62,0,0,166,82,0,0
144,132,144,0,0,83,122,0,0
145,63,75,0,0,163,120,0,0
146,62,153,0,0,82,73,0,0
148,75,132,0,0,120,83,0,0
149,63,144,0,0,163,122,0,0
151,84,153,0,0,166,73,0,0
154,75,144,0,0,120,122,0,0
155,63,132,0,0,163,83,0,0
156,153,63,0,0,73,163,0,0
157,84,75,0,0,166,120,0,0
158,153,75,0,0,73,120,0,0
159,84,63,0,0,166,163,0,0
183,114,105,0,0,17,153,3,3
186,117,136,0,0,180,84,5,5
187,143,105,0,0,79,153,3,3
191,114,143,0,0,17,79,3,3
202,26,30,0,0,60,129,0,0
204,51,150,0,0,201,168,1,2
205,26,150,0,0,60,168,0,2
207,51,30,0,0,201,129,1,0
208,30,150,0,0,129,168,0,2
211,51,26,0,0,201,60,1,0
213,83,32,0,0,121,193,2,0
215,134,32,0,0,169,193,2,0
217,83,134,0,0,121,169,2,2
219,13,22,0,0,156,198,2,3
235,153,81,0,0,37,96,3,3
241,152,145,0,0,58,85,3,3
258,18,61,0,0,139,72,0,0
260,32,57,0,0,193,120,0,0
262,31,62,0,0,76,82,0,0
263,28,73,0,0,54,166,0,0
264,25,61,0,0,60,72,0,0
265,58,62,0,0,163,82,0,0
266,22,73,0,0,209,166,0,0
268,18,25,0,0,139,60,0,0
269,31,58,0,0,76,163,0,0
270,22,28,0,0,209,54,0,0
271,25,57,0,0,60,120,0,0
272,31,28,0,0,76,54,0,0
273,22,58,0,0,209,163,0,0
275,18,28,0,0,139,54,0,0
276,22,57,0,0,209,120,0,0
277,140,147,0,0,37,85,3,3
279,109,140,0,0,180,37,5,3
280,28,57,0,0,54,120,0,0
281,18,22,0,0,139,209,0,0
282,109,147,0,0,180,85,5,3
284,93,109,0,0,192,180,5,5
294,35,160,0,0,141,112,2,2
330,54,44,0,0,97,11,1,4
340,44,17,0,0,11,71,4,2
347,54,17,0,0,97,71,1,2
385,1,43,0,0,75,24,2,5
386,5,37,0,0,174,102,2,1
387,17,7,0,0,43,156,5,2
388,4,14,0,0,95,155,2,2
389,23,12,0,0,198,182,3,2
390,27,28,0,0,19,129,2,0
391,24,10,0,0,35,181,0,2
392,6,16,0,0,142,124,2,3
393,3,19,0,0,27,157,5,2
394,2,34,0,0,134,161,2,1
395,8,31,0,0,8,78,5,2
396,1,5,0,0,75,174,2,2
397,11,29,0,0,139,30,0,2
398,7,12,0,0,156,182,2,2
399,23,17,0,0,198,43,3,5
400,4,6,0,0,95,142,2,2
401,37,43,0,0,102,24,1,5
402,3,24,0,0,27,35,5,0
403,16,14,0,0,124,155,3,2
404,10,19,0,0,181,157,2,2
405,8,11,0,0,8,139,5,0
406,27,2,0,0,19,134,2,2
407,34,28,0,0,161,129,1,0
408,29,31,0,0,30,78,2,2
410,12,17,0,0,182,43,2,5
411,23,7,0,0,198,156,3,2
412,43,5,0,0,24,174,5,2
413,1,37,0,0,75,102,2,1
414,3,10,0,0,27,181,5,2
415,14,6,0,0,155,142,2,2
416,4,16,0,0,95,124,2,3
417,19,24,0,0,157,35,2,0
418,27,34,0,0,19,161,2,1
419,28,2,0,0,129,134,0,2
420,8,29,0,0,8,30,5,2
421,31,11,0,0,78,139,2,0
423,1,27,0,0,75,19,2,2
424,5,12,0,0,174,182,2,2
425,7,8,0,0,156,8,2,5
426,34,10,0,0,161,181,1,2
427,2,14,0,0,134,155,2,2
428,23,3,0,0,198,27,3,5
429,16,29,0,0,124,30,3,2
430,11,4,0,0,139,95,0,2
431,155,168,0,0,170,204,4,4
432,155,97,0,0,170,69,4,4
434,168,97,0,0,204,69,4,4
435,4,5,0,0,95,174,2,2
436,2,3,0,0,134,27,2,5
437,29,1,0,0,30,75,2,2
438,7,10,0,0,156,181,2,2
439,29,4,0,0,30,95,2,2
440,10,3,0,0,181,27,2,5
443,10,29,0,0,181,30,2,2
444,3,4,0,0,27,95,5,2
446,84,111,0,0,113,65,2,2
447,111,86,0,0,65,107,2,2
448,84,86,0,0,113,107,2,2
472,99,104,0,0,187,199,0,0
473,123,161,0,0,5,132,0,0
474,148,61,0,0,26,82,0,0
475,100,30,0,0,31,129,0,0
476,110,108,0,0,45,73,0,0
477,111,90,0,0,65,49,2,2
478,114,48,0,0,67,2,0,0
479,115,31,0,0,83,193,0,0
480,52,32,0,0,94,151,2,2
481,136,122,0,0,110,190,0,0
482,102,74,0,0,116,172,0,0
483,50,109,0,0,120,130,0,0
484,132,26,0,0,179,60,0,0
485,44,69,0,0,53,121,2,2
488,20,159,0,0,19,9,2,2
489,71,6,0,0,52,174,2,2
491,127,34,0,0,68,78,2,2
492,45,33,0,0,70,162,2,2
493,124,149,0,0,74,125,2,2
494,55,57,0,0,88,194,2,2
495,42,3,0,0,90,181,2,2
496,86,13,0,0,107,155,2,2
497,151,37,0,0,112,12,2,2
498,116,5,0,0,114,134,2,2
499,117,12,0,0,140,55,2,2
500,39,25,0,0,141,152,2,2
501,8,142,0,0,142,18,2,2
502,7,170,0,0,156,13,2,2
504,43,16,0,0,168,71,2,2
505,75,2,0,0,169,95,2,2
506,79,84,0,0,200,113,2,2
507,35,101,0,0,207,1,2,2
524,142,72,0,0,9,52,2,2
525,116,2,0,0,65,95,2,2
526,20,7,0,0,71,156,2,2
527,73,58,0,0,49,113,2,2
528,70,24,0,0,107,152,2,2
531,40,45,0,0,12,141,2,2
532,130,120,0,0,18,114,2,2
533,14,100,0,0,30,74,2,2
534,13,19,0,0,55,19,2,2
536,32,47,0,0,78,70,2,2
538,12,154,0,0,155,112,2,2
539,48,42,0,0,94,168,2,2
540,105,6,0,0,140,174,2,2
541,66,35,0,0,121,53,2,2
542,135,34,0,0,125,207,2,2
543,8,5,0,0,142,134,2,2
544,33,151,0,0,151,13,2,2
545,17,133,0,0,157,160,2,2
546,31,128,0,0,162,68,2,2
547,11,3,0,0,182,181,2,2
548,39,37,0,0,194,90,2,2
549,79,69,0,0,200,169,2,2
550,50,125,0,0,2,179,0,0
551,25,89,0,0,60,187,0,0
552,141,119,0,0,122,83,0,0
553,84,46,0,0,117,210,0,0
554,153,49,0,0,132,120,0,0
555,118,107,0,0,199,67,0,0
556,61,111,0,0,82,5,0,0
557,106,150,0,0,130,26,0,0
558,74,26,0,0,138,76,0,0
559,114,55,0,0,190,163,0,0
568,54,60,0,0,201,154,1,1
569,84,47,0,0,15,104,1,1
570,65,27,0,0,143,161,1,1
572,54,27,0,0,201,161,1,1
573,65,84,0,0,143,15,1,1
574,47,60,0,0,104,154,1,1
577,60,65,0,0,154,143,1,1
578,54,47,0,0,201,104,1,1
579,27,84,0,0,161,15,1,1
580,24,115,0,0,60,67,0,0
581,137,128,0,0,122,110,0,0
582,107,26,0,0,73,76,0,0
583,60,27,0,0,154,161,1,1
584,8,42,0,0,156,168,2,2
585,90,114,0,0,187,179,0,0
586,101,58,0,0,199,2,0,0
587,54,84,0,0,201,15,1,1
588,79,145,0,0,72,123,0,0
589,117,53,0,0,83,163,0,0
590,151,29,0,0,109,35,0,0
591,49,116,0,0,120,5,0,0
592,33,22,0,0,129,54,0,0
593,98,63,0,0,130,82,0,0
594,76,68,0,0,138,166,0,0
595,65,47,0,0,143,104,1,1
596,25,41,0,0,152,12,2,2
597,81,119,0,0,200,65,2,2
598,20,69,0,0,209,172,0,0
599,84,60,0,0,15,154,1,1
601,156,72,0,0,112,107,2,2
602,113,4,0,0,1,75,2,2
603,150,51,0,0,13,94,2,2
604,121,10,0,0,18,142,2,2
605,21,108,0,0,19,140,2,2
606,16,124,0,0,30,125,2,2
608,75,141,0,0,52,9,2,2
610,48,132,0,0,70,68,2,2
611,106,40,0,0,74,207,2,2
612,31,134,0,0,78,160,2,2
613,2,67,0,0,95,49,2,2
614,47,27,0,0,104,161,1,1
615,5,32,0,0,134,53,2,2
616,39,11,0,0,141,155,2,2
617,36,19,0,0,151,71,2,2
618,28,14,0,0,162,157,2,2
619,73,61,0,0,169,113,2,2
620,6,13,0,0,174,55,2,2
621,3,52,0,0,181,88,2,2
622,7,45,0,0,182,90,2,2
623,54,65,0,0,201,143,1,1
625,79,20,0,0,72,209,0,0
627,28,25,0,0,35,54,0,0
629,28,26,0,0,35,76,0,0
630,64,25,0,0,172,54,0,0
632,90,85,0,0,100,187,0,0
633,97,170,0,0,199,165,0,0
634,26,25,0,0,76,54,0,0
635,64,28,0,0,172,35,0,0
637,90,97,0,0,100,199,0,0
643,109,93,0,0,1,74,2,2
644,41,133,0,0,70,160,2,2
645,50,11,0,0,94,156,2,2
646,78,10,0,0,121,142,2,2
648,121,4,0,0,125,75,2,2
649,6,129,0,0,134,114,2,2
650,48,7,0,0,194,182,2,2
651,40,17,0,0,207,30,2,2
653,22,5,0,0,19,174,2,2
654,99,69,0,0,140,52,2,2
657,4,109,0,0,75,1,2,2
658,32,30,0,0,78,162,2,2
659,21,158,0,0,152,112,2,2
669,36,12,0,0,97,139,1,0
670,27,15,0,0,161,124,1,3
671,50,30,0,0,163,193,0,0
672,76,117,0,0,166,73,0,0
673,106,94,0,0,5,130,0,0
674,31,82,0,0,35,117,0,0
675,114,70,0,0,45,138,0,0
676,115,74,0,0,67,187,0,0
677,66,123,0,0,82,132,0,0
678,36,10,0,0,97,8,1,5
679,27,14,0,0,161,55,1,2
680,86,137,0,0,190,122,0,0
681,146,21,0,0,123,209,0,0
682,14,15,0,0,55,124,2,3
683,12,10,0,0,139,8,0,5
684,14,10,0,0,55,8,2,5
685,15,12,0,0,124,139,3,0
689,74,57,0,0,187,2,0,0
690,93,22,0,0,199,60,0,0
691,145,106,0,0,26,5,0,0
692,115,116,0,0,67,179,0,0
693,26,114,0,0,76,45,0,0
694,25,97,0,0,54,31,0,0
695,135,82,0,0,109,117,0,0
696,127,50,0,0,110,163,0,0
697,94,123,0,0,130,132,0,0
698,70,117,0,0,138,73,0,0
699,51,31,0,0,210,35,0,0
702,30,137,0,0,193,122,0,0
703,35,17,0,0,102,43,1,5
708,30,127,0,0,193,110,0,0
718,40,35,0,0,41,102,1,1
719,98,36,0,0,87,97,1,1
720,108,42,0,0,87,41,1,1
721,37,33,0,0,97,102,1,1
724,86,127,0,0,121,114,2,2
727,92,37,0,0,188,97,1,1
728,42,37,0,0,41,97,1,1
729,108,33,0,0,87,102,1,1
730,108,42,0,0,87,41,1,1
731,37,33,0,0,97,102,1,1
737,96,82,0,0,93,203,1,1
740,116,92,0,0,91,188,1,1
742,116,96,0,0,91,93,1,1
744,116,82,0,0,91,203,1,1
745,96,92,0,0,93,188,1,1
747,92,82,0,0,188,203,1,1
748,145,131,0,0,79,177,3,3
752,64,81,0,0,49,200,2,2
753,3,119,0,0,95,65,2,2
754,142,133,0,0,133,16,1,1
755,159,133,0,0,144,16,1,1
757,117,155,0,0,17,84,3,5
759,106,110,0,0,1,125,2,2
760,52,74,0,0,12,107,2,2
762,14,45,0,0,30,207,2,2
763,70,15,0,0,52,55,2,2
764,34,123,0,0,53,18,2,2
766,98,5,0,0,74,75,2,2
767,63,11,0,0,88,182,2,2
768,10,50,0,0,155,141,2,2
769,40,18,0,0,94,71,2,2
770,61,64,0,0,113,49,2,2
771,127,6,0,0,114,142,2,2
773,142,159,0,0,133,144,1,1
774,8,86,0,0,134,121,2,2
775,12,32,0,0,156,151,2,2
776,17,30,0,0,157,162,2,2
777,135,46,0,0,160,70,2,2
778,44,148,0,0,168,13,2,2
779,89,119,0,0,169,65,2,2
780,2,23,0,0,174,19,2,2
781,143,116,0,0,175,91,1,1
782,49,4,0,0,194,181,2,2
783,81,3,0,0,200,95,2,2
785,116,133,0,0,91,16,1,1
786,143,142,0,0,175,133,1,1
789,155,117,0,0,84,17,5,3
790,143,116,0,0,175,91,1,1
793,99,51,0,0,122,163,0,0
794,71,25,0,0,166,76,0,0
795,73,65,0,0,199,187,0,0
796,21,67,0,0,209,72,0,0
797,111,104,0,0,73,45,0,0
798,56,146,0,0,82,26,0,0
799,137,41,0,0,109,210,0,0
800,35,101,0,0,129,31,0,0
801,91,55,0,0,130,120,0,0
802,131,145,0,0,177,79,3,3
803,80,115,0,0,190,110,0,0
809,102,69,0,0,45,166,0,0
810,50,79,0,0,163,190,0,0
811,67,26,0,0,187,60,0,0
812,93,51,0,0,5,82,0,0
813,147,84,0,0,26,130,0,0
814,97,66,0,0,67,199,0,0
815,27,77,0,0,76,138,0,0
816,109,24,0,0,110,193,0,0
817,59,114,0,0,120,132,0,0
818,40,71,0,0,210,117,0,0
819,107,53,0,0,179,2,0,0
820,34,44,0,0,151,94,2,2
821,144,3,0,0,9,174,2,2
822,47,156,0,0,12,112,2,2
823,148,10,0,0,13,156,2,2
824,120,88,0,0,18,121,2,2
825,21,65,0,0,19,52,2,2
826,56,81,0,0,49,169,2,2
827,30,7,0,0,53,134,2,2
828,15,92,0,0,55,140,2,2
829,115,82,0,0,65,200,2,2
830,136,40,0,0,68,70,2,2
831,18,38,0,0,71,168,2,2
832,100,99,0,0,74,1,2,2
833,4,49,0,0,75,207,2,2
834,23,17,0,0,78,157,2,2
835,57,5,0,0,88,181,2,2
836,11,14,0,0,155,152,2,2
838,73,54,0,0,107,141,2,2
839,60,2,0,0,113,95,2,2
840,112,13,0,0,125,30,2,2
841,6,113,0,0,142,114,2,2
842,134,30,0,0,160,162,2,2
843,12,37,0,0,182,194,2,2
844,126,131,0,0,17,177,3,3
845,142,141,0,0,176,7,3,3
847,17,136,0,0,157,68,2,2
848,131,126,0,0,177,17,3,3
850,144,92,0,0,9,140,2,2
854,55,101,0,0,24,148,5,5
858,76,116,0,0,107,65,2,2
859,116,61,0,0,65,113,2,2
860,144,143,0,0,7,176,3,3
861,35,31,0,0,97,162,1,2
862,76,61,0,0,107,113,2,2
864,161,127,0,0,58,153,3,3
865,62,31,0,0,59,162,5,2
867,161,175,0,0,58,50,3,3
868,137,134,0,0,68,160,2,2
871,175,127,0,0,50,153,3,3
874,35,62,0,0,97,59,1,5
878,6,42,0,0,181,90,2,2
879,55,71,0,0,2,199,0,0
881,156,10,0,0,112,155,2,2
882,16,76,0,0,152,107,2,2
883,63,78,0,0,166,138,0,0
884,94,70,0,0,179,187,0,0
885,82,56,0,0,5,120,0,0
886,148,115,0,0,26,132,0,0
888,44,136,0,0,35,109,0,0
890,62,29,0,0,59,209,5,0
891,96,23,0,0,67,60,0,0
892,54,77,0,0,82,130,0,0
893,33,34,0,0,54,129,0,0
894,102,105,0,0,110,122,0,0
895,138,68,0,0,123,72,0,0
896,81,25,0,0,190,193,0,0
897,37,72,0,0,102,48,1,3
899,113,7,0,0,18,134,2,2
900,12,5,0,0,30,75,2,2
902,14,66,0,0,55,52,2,2
903,137,31,0,0,68,162,2,2
904,61,84,0,0,113,169,2,2
905,112,22,0,0,114,53,2,2
906,88,18,0,0,140,19,2,2
907,114,101,0,0,125,1,2,2
908,52,76,0,0,141,107,2,2
909,4,89,0,0,142,121,2,2
910,11,46,0,0,156,94,2,2
911,134,15,0,0,160,157,2,2
912,3,133,0,0,174,9,2,2
913,43,93,0,0,207,74,2,2
915,103,58,0,0,148,24,5,5
917,72,62,0,0,48,59,3,5
918,37,29,0,0,102,209,1,0
921,116,84,0,0,65,169,2,2
922,38,24,0,0,70,78,2,2
924,42,53,0,0,90,88,2,2
925,10,40,0,0,155,12,2,2
926,74,51,0,0,200,49,2,2
927,27,20,0,0,198,139,3,0
928,62,29,0,0,59,209,5,0
930,23,18,0,0,43,139,5,0
932,34,7,0,0,198,124,3,3
939,7,23,0,0,124,43,3,5
944,7,18,0,0,124,139,3,0
947,34,23,0,0,198,43,3,5
954,36,124,0,0,202,205,5,5
955,7,100,0,0,124,148,3,5
956,1,76,0,0,27,59,5,5
957,23,73,0,0,43,149,5,5
958,10,62,0,0,8,24,5,5
959,34,42,0,0,198,40,3,5
960,7,124,0,0,124,205,3,5
962,36,100,0,0,202,148,5,5
963,1,73,0,0,27,149,5,5
964,23,76,0,0,43,59,5,5
965,10,42,0,0,8,40,5,5
966,34,62,0,0,198,24,3,5
967,100,124,0,0,148,205,5,5
968,1,23,0,0,27,43,5,5
969,73,76,0,0,149,59,5,5
970,36,7,0,0,202,124,5,3
971,10,34,0,0,8,198,5,3
972,42,62,0,0,40,24,5,5
973,20,57,0,0,60,2,0,0
974,107,82,0,0,122,190,0,0
975,71,97,0,0,187,67,0,0
976,24,43,0,0,193,163,0,0
977,69,88,0,0,199,179,0,0
978,32,140,0,0,209,123,0,0
979,72,40,0,0,117,35,0,0
980,50,138,0,0,120,26,0,0
981,75,74,0,0,130,5,0,0
982,100,23,0,0,148,43,5,5
983,36,62,0,0,202,24,5,5
984,1,10,0,0,27,8,5,5
985,34,7,0,0,198,124,3,3
986,95,132,0,0,96,177,3,3
987,81,175,0,0,192,50,5,3
988,36,23,0,0,202,43,5,5
989,34,1,0,0,198,27,3,5
990,152,144,0,0,37,7,3,3
991,95,175,0,0,96,50,3,3
992,102,96,0,0,118,93,1,1
993,132,81,0,0,177,192,3,5
995,23,34,0,0,43,198,5,3
997,175,132,0,0,50,177,3,3
998,95,81,0,0,96,192,3,5
1000,129,144,0,0,178,7,3,3
1001,36,1,0,0,202,27,5,5
1002,156,83,0,0,37,192,3,5
1004,56,72,0,0,2,187,0,0
1005,79,146,0,0,5,26,0,0
1006,102,28,0,0,31,54,0,0
1007,41,44,0,0,35,210,0,0
1008,156,131,0,0,37,50,3,3
1009,108,26,0,0,45,76,0,0
1010,23,70,0,0,60,199,0,0
1011,58,46,0,0,82,120,0,0
1012,104,21,0,0,122,193,0,0
1013,114,75,0,0,132,130,0,0
1014,48,87,0,0,163,110,0,0
1015,91,100,0,0,179,67,0,0
1023,152,10,0,0,112,152,2,2
1024,130,7,0,0,9,55,2,2
1025,150,43,0,0,13,168,2,2
1026,123,49,0,0,65,113,2,2
1027,37,9,0,0,70,157,2,2
1028,18,32,0,0,71,151,2,2
1030,40,14,0,0,90,182,2,2
1031,69,42,0,0,107,12,2,2
1033,2,30,0,0,142,53,2,2
1034,25,27,0,0,162,78,2,2
1037,157,167,0,0,185,170,4,4
1039,137,177,0,0,69,204,4,4
1041,137,167,0,0,69,170,4,4
1042,157,177,0,0,185,204,4,4
1043,137,177,0,0,69,204,4,4
1044,157,167,0,0,185,170,4,4
1046,56,123,0,0,49,65,2,2
1047,9,55,0,0,152,141,2,2
1048,97,12,0,0,1,30,2,2
1049,42,16,0,0,12,155,2,2
1050,29,7,0,0,19,55,2,2
1051,27,2,0,0,53,142,2,2
1053,126,8,0,0,68,157,2,2
1054,18,149,0,0,71,13,2,2
1055,4,86,0,0,75,74,2,2
1056,6,81,0,0,95,169,2,2
1057,65,153,0,0,107,112,2,2
1058,49,80,0,0,113,200,2,2
1059,111,95,0,0,114,121,2,2
1060,99,127,0,0,140,9,2,2
1061,17,103,0,0,134,18,2,2
1062,28,14,0,0,151,156,2,2
1063,142,30,0,0,160,78,2,2
1064,23,37,0,0,162,70,2,2
1065,40,43,0,0,168,94,2,2
1066,3,75,0,0,174,52,2,2
1067,15,11,0,0,181,182,2,2
1068,31,61,0,0,194,88,2,2
1069,62,118,0,0,207,125,2,2
1077,142,19,0,0,9,19,2,2
1078,130,35,0,0,18,53,2,2
1079,14,102,0,0,30,1,2,2
1080,73,2,0,0,49,95,2,2
1081,4,135,0,0,75,125,2,2
1084,40,24,0,0,12,152,2,2
1087,72,105,0,0,52,140,2,2
1088,13,6,0,0,55,174,2,2
1089,100,14,0,0,74,30,2,2
1090,37,39,0,0,90,194,2,2
1091,12,70,0,0,155,107,2,2
1092,48,151,0,0,94,13,2,2
1093,154,45,0,0,112,141,2,2
1094,58,116,0,0,113,65,2,2
1095,120,130,0,0,114,18,2,2
1096,66,5,0,0,121,134,2,2
1099,7,20,0,0,156,71,2,2
1100,17,32,0,0,157,78,2,2
1101,133,128,0,0,160,68,2,2
1102,42,33,0,0,168,151,2,2
1103,69,79,0,0,169,200,2,2
1105,11,54,0,0,182,88,2,2
1106,34,4,0,0,207,75,2,2
1114,150,170,0,0,146,137,3,3
1122,170,150,0,0,137,146,3,3
1131,101,55,0,0,136,11,4,4
1133,65,44,0,0,88,90,2,2
1134,6,67,0,0,95,200,2,2
1135,86,96,0,0,121,18,2,2
1136,89,59,0,0,1,207,2,2
1137,55,101,0,0,11,136,4,4
1138,146,27,0,0,13,151,2,2
1139,75,29,0,0,52,19,2,2
1140,20,98,0,0,53,114,2,2
1141,8,114,0,0,55,9,2,2
1143,12,42,0,0,71,94,2,2
1144,3,11,0,0,75,30,2,2
1145,30,113,0,0,78,68,2,2
1146,6,43,0,0,95,113,2,2
1147,115,77,0,0,125,74,2,2
1149,14,4,0,0,134,142,2,2
1150,46,40,0,0,141,12,2,2
1151,17,18,0,0,152,155,2,2
1152,5,38,0,0,157,70,2,2
1153,26,141,0,0,162,160,2,2
1154,33,15,0,0,168,156,2,2
1155,73,45,0,0,169,49,2,2
1156,2,92,0,0,174,140,2,2
1157,13,28,0,0,181,194,2,2
1158,166,49,0,0,33,120,0,0
1159,99,118,0,0,122,73,0,0
1160,167,157,0,0,170,185,4,4
1161,132,47,0,0,83,163,0,0
1162,62,56,0,0,166,82,0,0
1163,160,110,0,0,57,177,3,3
1164,49,118,0,0,120,73,0,0
1165,99,166,0,0,122,33,0,0
1166,90,103,0,0,178,17,3,3
1167,47,56,0,0,163,82,0,0
1168,62,132,0,0,166,83,0,0
1169,23,61,0,0,60,210,0,0
1170,139,56,0,0,83,82,0,0
1171,53,68,0,0,163,166,0,0
1172,59,34,0,0,172,209,0,0
1173,137,102,0,0,79,17,3,3
1174,111,91,0,0,177,178,3,3
1175,59,23,0,0,172,60,0,0
1176,34,61,0,0,209,210,0,0
1177,99,139,0,0,122,83,0,0
1178,68,166,0,0,166,33,0,0
1180,23,34,0,0,60,209,0,0
1183,59,61,0,0,172,210,0,0
1184,166,139,0,0,33,83,0,0
1185,74,108,0,0,187,67,0,0
1187,161,91,0,0,57,178,3,3
1189,99,68,0,0,122,166,0,0
1190,69,141,0,0,86,146,3,3
1196,163,141,0,0,81,146,3,3
1197,74,160,0,0,187,171,0,0
1200,72,97,0,0,199,100,0,0
1202,104,76,0,0,61,48,3,3
1203,108,160,0,0,67,171,0,0
1204,137,91,0,0,79,178,3,3
1205,69,163,0,0,86,81,3,3
1208,104,163,0,0,61,81,3,3
1209,69,76,0,0,86,48,3,3
1211,97,108,0,0,100,67,0,0
1212,104,76,0,0,61,48,3,3
1213,69,163,0,0,86,81,3,3
1215,21,10,0,0,155,134,2,2
1238,65,49,0,0,36,86,3,3
1239,57,82,0,0,192,61,5,3
1240,12,95,0,0,124,178,3,3
1242,1,65,0,0,27,36,5,3
1243,40,37,0,0,172,35,0,0
1244,19,57,0,0,198,192,3,5
1245,145,12,0,0,81,124,3,3
1246,49,1,0,0,86,27,3,5
1247,20,29,0,0,54,76,0,0
1249,25,48,0,0,209,2,0,0
1250,23,80,0,0,60,5,0,0
1251,58,101,0,0,166,31,0,0
1252,67,87,0,0,72,110,0,0
1253,145,95,0,0,81,178,3,3
1255,22,76,0,0,193,130,0,0
1256,19,82,0,0,198,61,3,3
1258,48,58,0,0,2,166,0,0
1259,37,23,0,0,35,60,0,0
1260,19,1,0,0,198,27,3,5
1261,29,22,0,0,76,193,0,0
1262,12,145,0,0,124,81,3,3
1263,101,25,0,0,31,209,0,0
1264,40,80,0,0,172,5,0,0
1265,12,1,0,0,124,27,3,5
1266,76,20,0,0,130,54,0,0
1267,19,145,0,0,198,81,3,3
1268,82,32,0,0,5,35,0,0
1269,105,44,0,0,31,2,0,0
1271,43,172,0,0,161,105,1,1
1272,51,23,0,0,166,209,0,0
1273,29,22,0,0,172,60,0,0
1274,68,19,0,0,130,76,0,0
1275,31,21,0,0,193,54,0,0
1276,125,172,0,0,208,105,1,1
1277,29,44,0,0,172,2,0,0
1278,23,22,0,0,209,60,0,0
1279,45,31,0,0,72,193,0,0
1280,43,125,0,0,161,208,1,1
1281,66,180,0,0,41,115,1,1
1282,110,166,0,0,87,150,1,1
1283,43,172,0,0,161,105,1,1
